Year,Make,Model,Mileage,Mileage/Year,HP,MPG (C),MPG (H),KBB,Price
2015,Nissan,Wersa Note S Plus,7045,3523,109,31,40,7.8,11234.00
2013,Chevrolet,Sonic,67709,16927,138,29,40,7.8,10995.00
2015,Chevrolet,Spark,21765,10883,84,31,39,7.9,10769.00
2015,Mitsubishi,Lancer ES,20728,10364,148,26,34,6.8,11700.00
2013,Toyota,Prius C Three,78562,19641,99,53,46,7.8,11500.00
2012,MINI,Cooper Hatchback,48300,9660,121,28,36,,10990.00
2015,Hyundai,Elantra SE,42428,21214,145,28,38,8.6,10900.00
2015,Hyundai,Accent GS,36004,18002,138,27,38,9.1,10795.00
2015,Ford,Fiesta Titanium,53143,26572,120,28,36,9.0,10700.00
2015,Hyundai,Accent GLS,41310,20655,138,27,38,9.1,10600.00
2016,Kia,Rio LX,43341,43341,138,27,36,8.7,10600.00
2015,Ford,Fiesta SE,34363,17182,120,27,37,9.0,10290.00
2017,Mitsubishi,Mirage G4 ES,4030,4030,78,35,42,8.4,9991.00
2014,Chevrolet,Spark 1LT,30040,10013,84,31,39,8.5,9750.00
2015,Hyundai,Accent GLS,37733,18867,138,27,38,9.1,9700.00
2012,Mazda,Mazda3 i Sport,76489,15298,148,24,33,8.2,9425.00
2013,Kia,Soul Base,42403,10601,138,25,30,7.3,9300.00
2011,Hyundai,Sonata SE,101284,16881,200,22,35,8.1,9291.00
2011,Ford,Fusion Sport,82835,13806,236,18,27,7.1,9200.00
2011,Toyota,Corolla,90850,15142,132,26,34,6.0,9149.00
2012,Chevrolet,Sonic 2LS,76901,15380,138,25,35,7.9,8383.00
2010,Nissan,Sentra SE-R,102371,14624,177,24,30,8.3,7500.00
2010,Toyota,Yaris Base,92150,13164,106,29,36,9.1,7348.00
2008,Toyota,Yaris,53302,5922,106,29,36,9.1,6500.00
2000,Toyota,Camry Solara SLE V6,113647,6685,200,19,27,9.6,6500.00
2004,Honda,Accord EX,164565,12659,160,24,34,9.1,5990.00
2008,Ford,Focus S,106073,11786,132,24,33,8.8,4999.00
2009,Chevrolet,Cobalt LT,131248,16406,155,25,37,7.8,2991.00
